data,time,second,type,id,lat,lng,xSpeed,ySpeed,xDistance,yDistance,area,status,Vx平均值,Vy平均值
2024/12/20,17:18:49,305165,左后,792,29.47849943,106.4888748,3.8m/s,0.0m/s,-29.4m,3.6m,-1.0dBm,运动,0,0
2024/12/20,17:18:49,305165,左后,767,29.47866717,106.4888719,2.2m/s,0.2m/s,-11.8m,-2.4m,0.0dBm,运动,0,0
2024/12/20,17:18:49,305165,左后,774,29.47868016,106.4889331,1.5m/s,0.0m/s,-8.6m,2.8m,2.0dBm,运动,0,0
2024/12/20,17:18:49,305165,左后,782,29.47851883,106.4889535,-0.2m/s,-0.2m/s,-25.0m,10.2m,-3.0dBm,运动到停止,0,0
2024/12/20,17:18:49,319031,前向,8,29.47887209,106.4889218,0.5m/s,0.0m/s,11.3m,-4.8m,,运动到停止,0,0
2024/12/20,17:18:49,330475,右后,1022,29.47832435,106.4887297,8.8m/s,-0.8m/s,-52.2m,-3.8m,3.0dBm,运动,0,0
2024/12/20,17:18:49,330475,右后,1039,29.4785248,106.4888321,4.0m/s,0.0m/s,-28.0m,-1.2m,7.0dBm,运动,0,0
2024/12/20,17:18:49,330475,右后,1040,29.47874612,106.4889011,2.5m/s,0.0m/s,-2.6m,-2.4m,-3.0dBm,运动,0,0
2024/12/20,17:18:49,330475,右后,1049,29.47866833,106.4888745,2.2m/s,0.0m/s,-11.6m,-2.2m,3.0dBm,运动,0,0
2024/12/20,17:18:49,330475,右后,1042,29.47877525,106.4889054,1.2m/s,0.0m/s,0.6m,-3.0m,0.0dBm,运动,0,0
2024/12/20,17:18:49,341910,右前,528,29.47879421,106.4889222,0.8m/s,0.0m/s,3.1m,-2.1m,,运动,0,0
2024/12/20,17:18:49,341910,右前,513,29.47890438,106.4889283,0.5m/s,0.1m/s,14.9m,-5.3m,,运动,0,0
2024/12/20,17:18:50,255282,左后,792,29.4785327,106.4888979,3.5m/s,0.0m/s,-25.2m,4.6m,0.0dBm,运动,0,0
2024/12/20,17:18:50,255282,左后,767,29.47867747,106.4888756,0.8m/s,0.0m/s,-10.6m,-2.4m,0.0dBm,运动,0,0
2024/12/20,17:18:50,255282,左后,774,29.47868763,106.4889401,0.5m/s,0.0m/s,-7.6m,3.2m,0.0dBm,运动,0,0
2024/12/20,17:18:50,255282,左后,782,29.47851883,106.4889534,-0.2m/s,0.0m/s,-25.0m,10.2m,-7.0dBm,运动到停止,0,0
2024/12/20,17:18:50,271045,前向,8,29.47887295,106.4889221,0.0m/s,0.0m/s,11.4m,-4.8m,,运动到停止,0,0
2024/12/20,17:18:50,280732,右后,1022,29.47838618,106.4887591,7.5m/s,0.0m/s,-44.8m,-3.2m,2.0dBm,运动,0,0
2024/12/20,17:18:50,280732,右后,1039,29.47854943,106.4888456,3.0m/s,0.0m/s,-25.0m,-0.8m,6.0dBm,运动,0,0
2024/12/20,17:18:50,280732,右后,1040,29.47875698,106.4889029,0.8m/s,-0.2m/s,-1.4m,-2.6m,-3.0dBm,运动,0,0
2024/12/20,17:18:50,280732,右后,1049,29.47868317,106.4888756,0.8m/s,0.0m/s,-10.0m,-2.6m,0.0dBm,运动,0,0
2024/12/20,17:18:50,292149,右前,528,29.47879736,106.4889244,0.6m/s,0.0m/s,3.5m,-2.0m,,运动,0,0
2024/12/20,17:18:50,555326,左后,783,29.47856325,106.4887835,8.8m/s,2.5m/s,-25.4m,-7.0m,-1.0dBm,运动,0,0
2024/12/20,17:18:51,6831,左后,783,29.4785926,106.4888138,8.8m/s,1.0m/s,-21.4m,-5.2m,1.0dBm,运动,0,0
2024/12/20,17:18:51,6831,左后,767,29.47869174,106.4888722,1.2m/s,0.0m/s,-9.2m,-3.2m,0.0dBm,运动,0,0
2024/12/20,17:18:51,6831,左后,774,29.47868994,106.4889388,0.0m/s,0.0m/s,-7.4m,3.0m,-1.0dBm,运动到停止,0,0
2024/12/20,17:18:51,6831,左后,782,29.47851886,106.4889534,0.0m/s,0.0m/s,-25.0m,10.2m,-7.0dBm,运动到停止,0,0
2024/12/20,17:18:51,19009,前向,8,29.4788727,106.488923,0.0m/s,0.0m/s,11.4m,-4.7m,,运动到停止,0,0
2024/12/20,17:18:51,26835,右后,1022,29.47842801,106.4887789,6.5m/s,0.0m/s,-39.8m,-2.8m,1.0dBm,运动,0,0
2024/12/20,17:18:51,26835,右后,1039,29.47855572,106.4888435,1.5m/s,0.0m/s,-24.4m,-1.2m,4.0dBm,运动,0,0
2024/12/20,17:18:51,26835,右后,1049,29.47868891,106.4888755,0.5m/s,0.0m/s,-9.4m,-2.8m,0.0dBm,运动到停止,0,0
2024/12/20,17:18:51,26835,右后,1040,29.47875645,106.4889049,0.2m/s,0.0m/s,-1.4m,-2.4m,-3.0dBm,运动到停止,0,0
2024/12/20,17:18:51,476916,右后,1043,29.47806596,106.4886643,6.8m/s,-0.2m/s,-81.4m,-1.0m,16.0dBm,运动,0,0
2024/12/20,17:18:51,655517,左后,771,29.47856132,106.4889107,1.5m/s,-3.0m/s,-21.8m,4.8m,-16.0dBm,运动,0,0
2024/12/20,17:18:52,5569,左后,783,29.4786641,106.488836,8.5m/s,0.5m/s,-13.2m,-5.6m,-1.0dBm,运动,0,0
2024/12/20,17:18:52,5569,左后,771,29.47855611,106.4888957,0.5m/s,-3.2m/s,-22.8m,3.6m,-12.0dBm,运动,0,0
2024/12/20,17:18:52,5569,左后,774,29.47869049,106.4889368,0.0m/s,0.0m/s,-7.4m,2.8m,0.0dBm,运动到停止,0,0
2024/12/20,17:18:52,5569,左后,782,29.47851997,106.4889495,0.0m/s,0.0m/s,-25.0m,9.8m,-8.0dBm,运动到停止,0,0
2024/12/20,17:18:52,19149,前向,8,29.47887242,106.488924,0.0m/s,0.0m/s,11.4m,-4.6m,,运动到停止,0,0
2024/12/20,17:18:52,26970,右后,1043,29.47809688,106.4886757,6.2m/s,0.0m/s,-77.8m,-1.0m,12.0dBm,运动,0,0
2024/12/20,17:18:52,26970,右后,1022,29.4784738,106.488798,4.5m/s,0.0m/s,-34.4m,-2.6m,-2.0dBm,运动,0,0
2024/12/20,17:18:52,26970,右后,1049,29.47869062,106.4888762,0.0m/s,0.0m/s,-9.2m,-2.8m,0.0dBm,运动到停止,0,0
2024/12/20,17:18:52,26970,右后,1040,29.47876044,106.4889042,0.0m/s,0.0m/s,-1.0m,-2.6m,-3.0dBm,运动到停止,0,0
2024/12/20,17:18:52,205629,左后,781,29.47854362,106.4889062,9.5m/s,-1.2m/s,-23.8m,5.0m,-10.0dBm,运动,0,0
2024/12/20,17:18:52,230902,右后,1021,29.47847506,106.4888136,3.8m/s,1.2m/s,-33.8m,-1.2m,-7.0dBm,运动,0,0
2024/12/20,17:18:53,5721,左后,781,29.47860993,106.4889199,8.2m/s,-1.0m/s,-16.4m,4.0m,-5.0dBm,运动,0,0
2024/12/20,17:18:53,5721,左后,783,29.47871101,106.4888512,5.5m/s,0.2m/s,-7.8m,-5.8m,-3.0dBm,运动,0,0
2024/12/20,17:18:53,5721,左后,782,29.47851998,106.4889494,0.0m/s,0.0m/s,-25.0m,9.8m,-9.0dBm,运动到停止,0,0
2024/12/20,17:18:53,5721,左后,774,29.47868879,106.4889361,0.0m/s,-0.2m/s,-7.6m,2.8m,0.0dBm,运动到停止,0,0
2024/12/20,17:18:53,19269,前向,8,29.47887329,106.4889243,0.0m/s,0.0m/s,11.5m,-4.6m,,运动到停止,0,0
2024/12/20,17:18:53,30981,右后,1022,29.47861126,106.4889486,7.5m/s,-3.8m/s,-15.4m,6.6m,-5.0dBm,运动,0,0
2024/12/20,17:18:53,30981,右后,1043,29.47815008,106.4886888,5.8m/s,0.0m/s,-71.8m,-1.6m,9.0dBm,运动,0,0
2024/12/20,17:18:53,30981,右后,1021,29.47849455,106.4888251,2.8m/s,0.5m/s,-31.4m,-0.8m,-6.0dBm,运动,0,0
2024/12/20,17:18:53,30981,右后,1049,29.47869008,106.4888781,0.0m/s,0.0m/s,-9.2m,-2.6m,-2.0dBm,运动到停止,0,0
2024/12/20,17:18:53,30981,右后,1040,29.47875701,106.4889029,0.0m/s,0.0m/s,-1.4m,-2.6m,-3.0dBm,运动到停止,0,0
2024/12/20,17:18:54,5827,左后,781,29.47869181,106.4889655,9.2m/s,0.0m/s,-6.4m,5.4m,-2.0dBm,运动,0,0
2024/12/20,17:18:54,5827,左后,774,29.47869046,106.4889368,0.0m/s,0.0m/s,-7.4m,2.8m,0.0dBm,运动到停止,0,0
2024/12/20,17:18:54,19436,前向,8,29.47887353,106.4889234,0.0m/s,0.0m/s,11.5m,-4.7m,,运动到停止,0,0
2024/12/20,17:18:54,27255,右后,1021,29.47850825,106.4888302,1.2m/s,0.0m/s,-29.8m,-0.8m,-7.0dBm,运动,0,0
2024/12/20,17:18:54,27255,右后,1049,29.47868146,106.4888749,0.0m/s,0.0m/s,-10.2m,-2.6m,-4.0dBm,运动到停止,0,0
2024/12/20,17:18:54,27255,右后,1040,29.4787587,106.4889036,0.0m/s,0.0m/s,-1.2m,-2.6m,-3.0dBm,运动到停止,0,0
2024/12/20,17:18:54,77277,右后,1042,29.47839078,106.4887629,5.5m/s,-0.5m/s,-44.2m,-3.0m,4.0dBm,运动,0,0
2024/12/20,17:18:54,455856,左后,787,29.47860454,106.4888117,6.2m/s,3.0m/s,-20.2m,-5.8m,-2.0dBm,运动,0,0
2024/12/20,17:18:54,731541,右后,1036,29.47809946,106.4886398,6.5m/s,0.5m/s,-78.6m,-4.4m,2.0dBm,运动,0,0
